Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,ConcreteCompressiveStrength
252,0,0,185,0,1111,784,7,13.71
295.799988,0,0,185.699997,0,1091.400024,769.299988,7,14.84
252.300003,0,98.800003,146.300003,14.2,987.799988,889,3,21.780001
172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,28,33.689999
162,214,164,202,10,820,680,28,30.65
446,24,79,162,11.6,967,712,56,55.25
540,0,0,173,0,1125,613,14,59.759998
154.800003,0,142.800003,193.300003,9.1,1047.400024,696.700012,28,12.46
167.399994,129.899994,128.600006,175.5,7.8,1006.299988,746.599976,56,51.720001
277,0,0,191,0,968,856,14,21.26
251.399994,0,118.300003,192.899994,5.8,1043.599976,754.299988,100,40.150002
382,0,0,186,0,1047,739,7,24
153,102,0,192,0,888,943.099976,28,17.959999
400,0,0,187,0,1025,745,7,30.139999
397,0,0,186,0,1040,734,28,36.939999
275.100006,0,121.400002,159.5,9.9,1053.599976,777.5,56,56.849998
154,144,112,220,10,923,658,28,16.5
116,173,0,192,0,909.799988,891.900024,90,31.02
387,20,94,157,13.9,938,845,56,47.970001
387,20,94,157,14.3,938,845,7,36.84
288,121,0,177,7,908,829,28,42.130001
350,0,0,186,0,1050,770,7,20.280001
158.800003,238.199997,0,185.699997,0,1040.599976,734.299988,28,21.07
439,177,0,186,11.1,884.900024,707.900024,3,39.299999
192,288,0,192,0,929.799988,716.099976,90,50.73
149,118,92,183,7,953,780,28,23.52
173.5,50.099998,173.5,164.800003,6.5,1006.200012,793.5,3,23.08
313.299988,145,0,178.5,8,1001.900024,688.700012,28,41.049999
173.800003,93.400002,159.899994,172.300003,9.7,1007.200012,746.599976,28,37.810001
165,128.5,132.100006,175.100006,8.1,1005.799988,746.599976,14,33.09
237.5,237.5,0,228,0,932,594,7,26.26
491,26,123,210,3.9,882,699,28,55.549999
167,75.400002,167,164,7.9,1007.299988,770.099976,100,56.810001
276.399994,116,90.300003,179.600006,8.9,870.099976,768.299988,28,44.279999
330.5,169.600006,0,194.899994,8.1,811,802.299988,28,56.619999
288,192,0,192,0,932,717.799988,90,50.529999
229.699997,0,118.199997,195.199997,6.1,1028.099976,757.599976,28,24.540001
350,0,0,203,0,974,775,180,32.720001
333,0,0,192,0,931.200012,842.599976,28,31.969999
310,143,0,168,10,914,804,28,45.299999
135,0,166,180,10,961,805,28,13.29
255,0,0,192,0,889.799988,945,3,8.2
427.5,47.5,0,228,0,932,594,180,41.84
376,0,0,214.600006,0,1003.5,762.400024,3,16.280001
168,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,3,7.75
102,153,0,192,0,887,942,28,17.280001
425,106.300003,0,153.5,16.5,852.099976,887.099976,7,49.200001
165,128.5,132.100006,175.100006,8.1,1005.799988,746.599976,28,46.389999
389.899994,189,0,145.899994,22,944.700012,755.799988,91,82.599998
172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,14,29.75
277.200012,97.800003,24.5,160.699997,11.2,1061.699951,782.5,3,30.450001
380,95,0,228,0,932,594,7,32.82
266,112,87,178,10,910,745,28,39.419998
401.799988,94.699997,0,147.399994,11.4,946.799988,852.099976,3,41.099998
135.699997,203.5,0,185.699997,0,1076.199951,759.299988,7,7.51
238.100006,0,94.099998,186.699997,7,949.900024,847,28,30.23
279.799988,128.899994,100.400002,172.399994,9.5,825.099976,804.900024,28,52.830002
281,0,0,185,0,1104,774,28,22.440001
374,189.199997,0,170.100006,10.1,926.099976,756.700012,28,61.09
251.399994,0,118.300003,188.5,5.8,1028.400024,757.700012,3,17.219999
375,93.800003,0,126.599998,23.4,852.099976,992.599976,56,60.200001
142,167,130,174,11,883,785,28,44.610001
164,0,200,181,13,849,846,28,15.09
272.799988,105.099998,81.800003,209.699997,9,904,679.700012,28,37.169998
233.800003,0,94.599998,197.899994,4.6,947,852.200012,56,27.66
446,24,79,162,11.6,967,712,28,51.02
212.5,0,100.400002,159.300003,8.7,1007.799988,903.599976,14,26.309999
500,0,0,200,0,1125,613,90,47.220001
236,157,0,192,0,972.599976,749.099976,7,20.42
190.699997,0,125.400002,162.100006,7.8,1090,804,100,40.57
304,76,0,228,0,932,670,28,47.810001
238,0,0,186,0,1119,789,7,12.05
342,38,0,228,0,932,670,270,55.060001
304,76,0,228,0,932,670,270,54.380001
362.600006,189,0,164.899994,11.6,944.700012,755.799988,91,79.300003
173.5,50.099998,173.5,164.800003,6.5,1006.200012,793.5,56,53.77
307,0,0,193,0,968,812,28,27.530001
401.799988,94.699997,0,147.399994,11.4,946.799988,852.099976,56,73.699997
151.600006,0,111.900002,184.399994,7.9,992,815.900024,28,12.18
359,19,141,154,10.9,942,801,28,62.939999
355,19,97,145,12.3,967,871,28,55.450001
108.300003,162.399994,0,203.5,0,938.200012,849,90,29.23
331,0,0,192,0,1025,821,7,17.440001
212,0,124.800003,159,7.8,1085.400024,799.5,3,19.52
382.5,0,0,185.699997,0,1047.800049,739.299988,28,37.439999
231.800003,0,121.599998,174,6.7,1056.400024,778.5,3,15.44
252,0,0,186,0,1111,784,7,11.47
425,106.300003,0,151.399994,18.6,936,803.700012,91,66.699997
156,178,187,221,7,854,614,28,29.41
